application_id,customer_id,application_date,annual_income,debt_ratio,late_payments,collection_status,defaulted
APP-000000,CUS-00000,2022-01-01,40157.06,0.1017,1,sent_to_collections,1
APP-000001,CUS-00000,2022-01-02,45909.87,0.1247,1,current,0
APP-000002,CUS-00000,2022-01-03,35476.93,0.0291,0,current,0
APP-000003,CUS-00001,2022-01-04,26882.58,0.1792,1,current,0
APP-000004,CUS-00001,2022-01-05,32708.76,0.2489,1,current,0
APP-000005,CUS-00001,2022-01-06,25687.48,0.4762,2,current,0
APP-000006,CUS-00002,2022-01-07,41235.9,0.1769,3,current,0
APP-000007,CUS-00002,2022-01-08,73357.27,0.2899,4,sent_to_collections,1
APP-000008,CUS-00002,2022-01-09,32160.91,0.4639,2,current,0
APP-000009,CUS-00003,2022-01-10,30357.12,0.2099,0,current,0
APP-000010,CUS-00003,2022-01-11,50032.54,0.2558,0,current,0
APP-000011,CUS-00003,2022-01-12,47126.9,0.4391,1,current,0
APP-000012,CUS-00004,2022-01-13,42084.57,0.3712,0,sent_to_collections,1
APP-000013,CUS-00004,2022-01-14,26404.49,0.2719,0,current,0
APP-000014,CUS-00004,2022-01-15,39609.99,0.3709,3,current,0
APP-000015,CUS-00005,2022-01-16,54879.02,0.542,2,sent_to_collections,1
APP-000016,CUS-00005,2022-01-17,21918.88,0.6455,1,sent_to_collections,1
APP-000017,CUS-00005,2022-01-18,32665.44,0.6979,0,sent_to_collections,1
APP-000018,CUS-00006,2022-01-19,17059.28,0.6573,1,current,0
APP-000019,CUS-00006,2022-01-20,22464.87,0.4628,2,current,0
APP-000020,CUS-00006,2022-01-21,17522.12,0.3769,0,current,0
APP-000021,CUS-00007,2022-01-22,36105.81,0.1837,2,current,0
APP-000022,CUS-00007,2022-01-23,22689.31,0.2398,1,current,0
APP-000023,CUS-00007,2022-01-24,45345.62,0.1245,2,current,0
APP-000024,CUS-00008,2022-01-25,43068.11,0.4021,2,current,0
APP-000025,CUS-00008,2022-01-26,36896.84,0.1938,1,current,0
APP-000026,CUS-00008,2022-01-27,12931.97,0.2522,1,current,0
APP-000027,CUS-00009,2022-01-28,31495.13,0.7347,3,sent_to_collections,1
APP-000028,CUS-00009,2022-01-29,39268.37,0.2391,0,sent_to_collections,1
APP-000029,CUS-00009,2022-01-30,42234.35,0.1352,1,current,0
APP-000030,CUS-00010,2022-01-31,20159.66,0.596,0,current,0
APP-000031,CUS-00010,2022-02-01,32370.77,0.2004,2,sent_to_collections,1
APP-000032,CUS-00010,2022-02-02,25839.68,0.1537,3,current,0
APP-000033,CUS-00011,2022-02-03,27889.99,0.3119,2,sent_to_collections,1
APP-000034,CUS-00011,2022-02-04,64692.75,0.4264,1,current,0
APP-000035,CUS-00011,2022-02-05,27906.35,0.4853,1,current,0
APP-000036,CUS-00012,2022-02-06,39551.75,0.4548,2,current,0
APP-000037,CUS-00012,2022-02-07,59753.05,0.2338,2,current,0
APP-000038,CUS-00012,2022-02-08,30865.05,0.3408,1,current,0
APP-000039,CUS-00013,2022-02-09,38167.29,0.0691,1,current,0
