application_id,customer_id,application_date,annual_income,debt_ratio,late_payments,collection_status,defaulted
APP-000000,CUS-00000,2022-01-01,40157.06,0.1678,2,current,0
APP-000001,CUS-00000,2022-01-02,45909.87,0.0892,3,current,0
APP-000002,CUS-00000,2022-01-03,35476.93,0.5186,1,sent_to_collections,1
APP-000003,CUS-00001,2022-01-04,26882.58,0.4458,0,current,0
APP-000004,CUS-00001,2022-01-05,32708.76,0.7856,2,sent_to_collections,1
APP-000005,CUS-00001,2022-01-06,25687.48,0.0686,1,sent_to_collections,1
APP-000006,CUS-00002,2022-01-07,41235.9,0.0653,0,sent_to_collections,1
APP-000007,CUS-00002,2022-01-08,73357.27,0.2041,1,current,0
APP-000008,CUS-00002,2022-01-09,32160.91,0.3828,2,current,0
APP-000009,CUS-00003,2022-01-10,30357.12,0.4608,2,current,0
APP-000010,CUS-00003,2022-01-11,50032.54,0.3153,0,current,0
APP-000011,CUS-00003,2022-01-12,47126.9,0.5295,3,current,0
APP-000012,CUS-00004,2022-01-13,42084.57,0.8444,0,sent_to_collections,1
APP-000013,CUS-00004,2022-01-14,26404.49,0.2439,2,current,0
APP-000014,CUS-00004,2022-01-15,39609.99,0.1235,1,current,0
APP-000015,CUS-00005,2022-01-16,54879.02,0.1231,3,sent_to_collections,1
APP-000016,CUS-00005,2022-01-17,21918.88,0.5937,4,current,0
APP-000017,CUS-00005,2022-01-18,32665.44,0.4192,4,current,0
APP-000018,CUS-00006,2022-01-19,17059.28,0.5621,2,current,0
APP-000019,CUS-00006,2022-01-20,22464.87,0.2309,1,current,0
APP-000020,CUS-00006,2022-01-21,17522.12,0.4628,2,sent_to_collections,1
APP-000021,CUS-00007,2022-01-22,36105.81,0.3803,2,sent_to_collections,1
APP-000022,CUS-00007,2022-01-23,22689.31,0.7626,0,current,0
APP-000023,CUS-00007,2022-01-24,45345.62,0.1836,1,current,0
APP-000024,CUS-00008,2022-01-25,43068.11,0.3192,3,current,0
APP-000025,CUS-00008,2022-01-26,36896.84,0.2859,0,sent_to_collections,1
APP-000026,CUS-00008,2022-01-27,12931.97,0.5879,4,current,0
APP-000027,CUS-00009,2022-01-28,31495.13,0.1377,1,current,0
APP-000028,CUS-00009,2022-01-29,39268.37,0.335,0,current,0
APP-000029,CUS-00009,2022-01-30,42234.35,0.8239,2,sent_to_collections,1
APP-000030,CUS-00010,2022-01-31,20159.66,0.3398,2,current,0
APP-000031,CUS-00010,2022-02-01,32370.77,0.0593,1,current,0
APP-000032,CUS-00010,2022-02-02,25839.68,0.2193,2,current,0
APP-000033,CUS-00011,2022-02-03,27889.99,0.3865,3,current,0
APP-000034,CUS-00011,2022-02-04,64692.75,0.5705,2,current,0
APP-000035,CUS-00011,2022-02-05,27906.35,0.4291,2,current,0
APP-000036,CUS-00012,2022-02-06,39551.75,0.1959,0,current,0
APP-000037,CUS-00012,2022-02-07,59753.05,0.3147,3,current,0
APP-000038,CUS-00012,2022-02-08,30865.05,0.6261,0,current,0
APP-000039,CUS-00013,2022-02-09,38167.29,0.5259,0,current,0
APP-000040,CUS-00013,2022-02-10,42180.31,0.462,0,current,0
APP-000041,CUS-00013,2022-02-11,41303.47,0.5262,2,sent_to_collections,1
APP-000042,CUS-00014,2022-02-12,23126.28,0.357,1,current,0
APP-000043,CUS-00014,2022-02-13,41533.81,0.0693,3,current,0
APP-000044,CUS-00014,2022-02-14,73974.12,0.0371,1,current,0
APP-000045,CUS-00015,2022-02-15,20005.95,0.09,1,current,0
APP-000046,CUS-00015,2022-02-16,59084.4,0.5093,0,current,0
APP-000047,CUS-00015,2022-02-17,42349.39,0.8156,1,sent_to_collections,1
APP-000048,CUS-00016,2022-02-18,30071.66,0.5797,1,current,0
APP-000049,CUS-00016,2022-02-19,98734.28,0.5792,1,current,0
APP-000050,CUS-00016,2022-02-20,56557.71,0.5613,1,current,0
APP-000051,CUS-00017,2022-02-21,23395.99,0.1903,2,current,0
APP-000052,CUS-00017,2022-02-22,41503.47,0.3958,2,current,0
APP-000053,CUS-00017,2022-02-23,52026.6,0.4497,0,current,0
APP-000054,CUS-00018,2022-02-24,36866.11,0.0696,1,current,0
APP-000055,CUS-00018,2022-02-25,54573.82,0.5388,2,sent_to_collections,1
APP-000056,CUS-00018,2022-02-26,38951.29,0.4985,0,current,0
APP-000057,CUS-00019,2022-02-27,54190.53,0.3564,2,sent_to_collections,1
APP-000058,CUS-00019,2022-02-28,76675.32,0.4606,1,current,0
APP-000059,CUS-00019,2022-03-01,29612.5,0.1891,3,current,0
APP-000060,CUS-00020,2022-03-02,43976.57,0.1543,1,current,0
APP-000061,CUS-00020,2022-03-03,32581.88,0.1538,3,current,0
APP-000062,CUS-00020,2022-03-04,42500.49,0.3121,2,current,0
APP-000063,CUS-00021,2022-03-05,23523.67,0.3851,3,current,0
APP-000064,CUS-00021,2022-03-06,30924.82,0.3528,3,current,0
APP-000065,CUS-00021,2022-03-07,36743.32,0.2084,1,current,0
APP-000066,CUS-00022,2022-03-08,60140.8,0.4457,1,sent_to_collections,1
APP-000067,CUS-00022,2022-03-09,67194.72,0.0395,2,sent_to_collections,1
APP-000068,CUS-00022,2022-03-10,22123.87,0.5725,2,current,0
APP-000069,CUS-00023,2022-03-11,28068.72,0.1904,4,sent_to_collections,1
APP-000070,CUS-00023,2022-03-12,53696.68,0.2185,0,current,0
APP-000071,CUS-00023,2022-03-13,16373.36,0.3979,1,current,0
APP-000072,CUS-00024,2022-03-14,32583.9,0.4284,1,sent_to_collections,1
APP-000073,CUS-00024,2022-03-15,38415.68,0.2067,2,current,0
APP-000074,CUS-00024,2022-03-16,70661.54,0.171,2,current,0
APP-000075,CUS-00025,2022-03-17,54733.53,0.4304,1,sent_to_collections,1
APP-000076,CUS-00025,2022-03-18,34639.64,0.6288,2,current,0
APP-000077,CUS-00025,2022-03-19,34000.85,0.4974,1,sent_to_collections,1
APP-000078,CUS-00026,2022-03-20,35861.23,0.3302,2,sent_to_collections,1
APP-000079,CUS-00026,2022-03-21,79665.21,0.2219,1,sent_to_collections,1
APP-000080,CUS-00026,2022-03-22,33103.32,0.0726,2,current,0
APP-000081,CUS-00027,2022-03-23,35008.42,0.2252,3,current,0
APP-000082,CUS-00027,2022-03-24,47035.84,0.0275,2,sent_to_collections,1
APP-000083,CUS-00027,2022-03-25,38011.85,0.5129,2,current,0
APP-000084,CUS-00028,2022-03-26,36725.33,0.0813,2,current,0
APP-000085,CUS-00028,2022-03-27,24310.65,0.319,0,current,0
APP-000086,CUS-00028,2022-03-28,39927.29,0.3344,2,current,0
APP-000087,CUS-00029,2022-03-29,32872.39,0.3204,1,current,0
APP-000088,CUS-00029,2022-03-30,67829.84,0.4109,2,current,0
APP-000089,CUS-00029,2022-03-31,53846.35,0.3821,1,sent_to_collections,1
APP-000090,CUS-00030,2022-04-01,39701.15,0.1169,3,current,0
