reading_id,machine_id,timestamp,vibration,temperature,service_ticket_opened,failure_next_24h
R-000000,M-000,2023-01-01 00:00:00,2.315,61.422,0,0
R-000001,M-000,2023-01-01 01:00:00,2.9977,65.842,0,0
R-000002,M-000,2023-01-01 02:00:00,2.7092,67.625,0,0
R-000003,M-000,2023-01-01 03:00:00,2.1928,66.258,0,0
R-000004,M-000,2023-01-01 04:00:00,2.8386,68.117,0,0
R-000005,M-000,2023-01-01 05:00:00,1.7781,59.211,0,0
R-000006,M-000,2023-01-01 06:00:00,2.8005,69.079,0,0
R-000007,M-000,2023-01-01 07:00:00,2.2235,64.986,0,0
R-000008,M-000,2023-01-01 08:00:00,2.8207,56.751,0,0
R-000009,M-000,2023-01-01 09:00:00,2.7252,68.73,0,0
R-000010,M-000,2023-01-01 10:00:00,2.1226,69.112,0,0
R-000011,M-000,2023-01-01 11:00:00,2.7711,62.398,0,0
R-000012,M-000,2023-01-01 12:00:00,2.6785,63.523,0,0
R-000013,M-000,2023-01-01 13:00:00,2.1851,61.163,0,0
R-000014,M-000,2023-01-01 14:00:00,3.5093,57.854,1,1
R-000015,M-000,2023-01-01 15:00:00,2.9104,56.236,0,0
R-000016,M-000,2023-01-01 16:00:00,1.919,65.789,0,0
R-000017,M-000,2023-01-01 17:00:00,2.0166,65.063,0,0
R-000018,M-000,2023-01-01 18:00:00,2.6697,60.02,0,0
R-000019,M-000,2023-01-01 19:00:00,2.6679,59.958,0,0
R-000020,M-000,2023-01-01 20:00:00,2.1491,66.369,0,0
R-000021,M-000,2023-01-01 21:00:00,3.1211,58.507,0,0
R-000022,M-000,2023-01-01 22:00:00,2.5623,64.761,0,0
R-000023,M-000,2023-01-01 23:00:00,2.083,68.37,0,0
R-000024,M-000,2023-01-02 00:00:00,2.3277,60.327,0,0
R-000025,M-000,2023-01-02 01:00:00,2.4262,57.078,0,0
R-000026,M-000,2023-01-02 02:00:00,1.7396,66.662,0,0
R-000027,M-000,2023-01-02 03:00:00,2.1008,65.197,0,0
R-000028,M-000,2023-01-02 04:00:00,1.6126,73.175,0,0
R-000029,M-000,2023-01-02 05:00:00,2.3714,60.511,0,0
R-000030,M-000,2023-01-02 06:00:00,2.8251,71.285,0,0
R-000031,M-000,2023-01-02 07:00:00,1.8765,61.105,0,0
R-000032,M-000,2023-01-02 08:00:00,2.6811,68.041,0,0
R-000033,M-000,2023-01-02 09:00:00,1.9293,64.841,0,0
R-000034,M-000,2023-01-02 10:00:00,2.4395,68.361,0,0
R-000035,M-000,2023-01-02 11:00:00,2.2638,67.802,0,0
R-000036,M-000,2023-01-02 12:00:00,1.9164,61.354,0,0
R-000037,M-000,2023-01-02 13:00:00,2.2486,62.732,0,0
R-000038,M-000,2023-01-02 14:00:00,1.911,69.247,0,0
R-000039,M-000,2023-01-02 15:00:00,2.6711,67.636,0,0
R-000040,M-000,2023-01-02 16:00:00,2.5481,62.011,0,0
R-000041,M-000,2023-01-02 17:00:00,3.1256,64.128,0,0
R-000042,M-000,2023-01-02 18:00:00,1.7946,62.576,0,0
R-000043,M-000,2023-01-02 19:00:00,3.0733,63.67,0,0
R-000044,M-000,2023-01-02 20:00:00,2.4881,65.168,0,0
R-000045,M-000,2023-01-02 21:00:00,2.7308,62.969,0,0
R-000046,M-000,2023-01-02 22:00:00,2.4345,62.896,0,0
R-000047,M-001,2023-01-02 23:00:00,3.3449,72.603,0,0
R-000048,M-001,2023-01-03 00:00:00,3.265,63.596,0,0
R-000049,M-001,2023-01-03 01:00:00,3.1069,70.376,0,0
R-000050,M-001,2023-01-03 02:00:00,2.703,62.251,1,1
R-000051,M-001,2023-01-03 03:00:00,1.405,60.856,0,0
R-000052,M-001,2023-01-03 04:00:00,2.8527,68.872,0,0
R-000053,M-001,2023-01-03 05:00:00,2.5588,67.369,1,1
R-000054,M-001,2023-01-03 06:00:00,2.5088,66.763,0,0
R-000055,M-001,2023-01-03 07:00:00,2.7937,70.722,0,0
